"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29001","county","Adair","clinton","clinton","democrat","democrat","votes",3500
201611,"general","pr","29003","county","Andrew","clinton","clinton","democrat","democrat","votes",2045
201611,"general","pr","29005","county","Atchison","clinton","clinton","democrat","democrat","votes",541
201611,"general","pr","29007","county","Audrain","clinton","clinton","democrat","democrat","votes",2570
201611,"general","pr","29009","county","Barry","clinton","clinton","democrat","democrat","votes",2710
201611,"general","pr","29011","county","Barton","clinton","clinton","democrat","democrat","votes",795
201611,"general","pr","29013","county","Bates","clinton","clinton","democrat","democrat","votes",1618
201611,"general","pr","29015","county","Benton","clinton","clinton","democrat","democrat","votes",2025
201611,"general","pr","29017","county","Bollinger","clinton","clinton","democrat","democrat","votes",705
201611,"general","pr","29019","county","Boone","clinton","clinton","democrat","democrat","votes",41125
201611,"general","pr","29021","county","Buchanan","clinton","clinton","democrat","democrat","votes",12013
201611,"general","pr","29023","county","Butler","clinton","clinton","democrat","democrat","votes",3036
201611,"general","pr","29025","county","Caldwell","clinton","clinton","democrat","democrat","votes",838
201611,"general","pr","29027","county","Callaway","clinton","clinton","democrat","democrat","votes",4989
201611,"general","pr","29029","county","Camden","clinton","clinton","democrat","democrat","votes",4768
201611,"general","pr","29031","county","Cape Girardeau","clinton","clinton","democrat","democrat","votes",8492
201611,"general","pr","29033","county","Carroll","clinton","clinton","democrat","democrat","votes",745
201611,"general","pr","29035","county","Carter","clinton","clinton","democrat","democrat","votes",436
201611,"general","pr","29037","county","Cass","clinton","clinton","democrat","democrat","votes",14846
201611,"general","pr","29039","county","Cedar","clinton","clinton","democrat","democrat","votes",1011
201611,"general","pr","29041","county","Chariton","clinton","clinton","democrat","democrat","votes",888
201611,"general","pr","29043","county","Christian","clinton","clinton","democrat","democrat","votes",8508
201611,"general","pr","29045","county","Clark","clinton","clinton","democrat","democrat","votes",724
201611,"general","pr","29047","county","Clay","clinton","clinton","democrat","democrat","votes",45304
201611,"general","pr","29049","county","Clinton","clinton","clinton","democrat","democrat","votes",2572
201611,"general","pr","29051","county","Cole","clinton","clinton","democrat","democrat","votes",10913
201611,"general","pr","29053","county","Cooper","clinton","clinton","democrat","democrat","votes",1932
201611,"general","pr","29055","county","Crawford","clinton","clinton","democrat","democrat","votes",1824
201611,"general","pr","29057","county","Dade","clinton","clinton","democrat","democrat","votes",637
201611,"general","pr","29059","county","Dallas","clinton","clinton","democrat","democrat","votes",1272
201611,"general","pr","29061","county","Daviess","clinton","clinton","democrat","democrat","votes",730
201611,"general","pr","29063","county","De Kalb","clinton","clinton","democrat","democrat","votes",824
201611,"general","pr","29065","county","Dent","clinton","clinton","democrat","democrat","votes",978
201611,"general","pr","29067","county","Douglas","clinton","clinton","democrat","democrat","votes",984
201611,"general","pr","29069","county","Dunklin","clinton","clinton","democrat","democrat","votes",2360
201611,"general","pr","29071","county","Franklin","clinton","clinton","democrat","democrat","votes",12341
201611,"general","pr","29073","county","Gasconade","clinton","clinton","democrat","democrat","votes",1520
201611,"general","pr","29075","county","Gentry","clinton","clinton","democrat","democrat","votes",605
201611,"general","pr","29077","county","Greene","clinton","clinton","democrat","democrat","votes",42728
201611,"general","pr","29079","county","Grundy","clinton","clinton","democrat","democrat","votes",780
201611,"general","pr","29081","county","Harrison","clinton","clinton","democrat","democrat","votes",574
201611,"general","pr","29083","county","Henry","clinton","clinton","democrat","democrat","votes",2357
201611,"general","pr","29085","county","Hickory","clinton","clinton","democrat","democrat","votes",1016
201611,"general","pr","29087","county","Holt","clinton","clinton","democrat","democrat","votes",347
201611,"general","pr","29089","county","Howard","clinton","clinton","democrat","democrat","votes",1283
201611,"general","pr","29091","county","Howell","clinton","clinton","democrat","democrat","votes",2881
201611,"general","pr","29093","county","Iron","clinton","clinton","democrat","democrat","votes",933
201611,"general","pr","29095","county","Jackson","clinton","clinton","democrat","democrat","votes",71237
201611,"general","pr","29097","county","Jasper","clinton","clinton","democrat","democrat","votes",10572
201611,"general","pr","29099","county","Jefferson","clinton","clinton","democrat","democrat","votes",31568
201611,"general","pr","29101","county","Johnson","clinton","clinton","democrat","democrat","votes",5930
201611,"general","pr",NA,"county","Kansas City","clinton","clinton","democrat","democrat","votes",97735
201611,"general","pr","29103","county","Knox","clinton","clinton","democrat","democrat","votes",379
201611,"general","pr","29105","county","Laclede","clinton","clinton","democrat","democrat","votes",2553
201611,"general","pr","29107","county","Lafayette","clinton","clinton","democrat","democrat","votes",4053
201611,"general","pr","29109","county","Lawrence","clinton","clinton","democrat","democrat","votes",2901
201611,"general","pr","29111","county","Lewis","clinton","clinton","democrat","democrat","votes",934
201611,"general","pr","29113","county","Lincoln","clinton","clinton","democrat","democrat","votes",5575
201611,"general","pr","29115","county","Linn","clinton","clinton","democrat","democrat","votes",1240
201611,"general","pr","29117","county","Livingston","clinton","clinton","democrat","democrat","votes",1265
201611,"general","pr","29121","county","Macon","clinton","clinton","democrat","democrat","votes",1548
201611,"general","pr","29123","county","Madison","clinton","clinton","democrat","democrat","votes",1005
201611,"general","pr","29125","county","Maries","clinton","clinton","democrat","democrat","votes",794
201611,"general","pr","29127","county","Marion","clinton","clinton","democrat","democrat","votes",2994
201611,"general","pr","29119","county","McDonald","clinton","clinton","democrat","democrat","votes",1329
201611,"general","pr","29129","county","Mercer","clinton","clinton","democrat","democrat","votes",216
201611,"general","pr","29131","county","Miller","clinton","clinton","democrat","democrat","votes",1750
201611,"general","pr","29133","county","Mississippi","clinton","clinton","democrat","democrat","votes",1458
201611,"general","pr","29135","county","Moniteau","clinton","clinton","democrat","democrat","votes",1237
201611,"general","pr","29137","county","Monroe","clinton","clinton","democrat","democrat","votes",853
201611,"general","pr","29139","county","Montgomery","clinton","clinton","democrat","democrat","votes",1119
